YR_1,Rank,Player,Pos,Team Signed With,Age At Signing,Yrs,Value,AAV,Practical GTD,Type
2017,T5,De'Aaron Fox,PG,SAC,22,5,"$163,000,300","$32,600,060","$163,000,300",Designated Rookie Extension
2017,T5,Donovan Mitchell,SG,UTA,24,5,"$163,000,300","$32,600,060","$163,000,300",Designated Rookie Extension
2017,T5,Jayson Tatum,PF,BOS,22,5,"$163,000,300","$32,600,060","$163,000,300",Designated Rookie Extension
2017,T5,Bam Adebayo,C,MIA,23,5,"$163,000,300","$32,600,060","$163,000,300",Designated Rookie Extension
2017,12,OG Anunoby,SF,TOR,23,4,"$72,000,000","$18,000,000","$72,000,000",Rookie Extension
2017,14,Derrick White,PG,SAS,26,4,"$70,000,000","$17,500,000","$68,000,000",Rookie Extension
2017,15,Jonathan Isaac,PF,ORL,23,4,"$69,600,000","$17,400,000","$52,200,000",Rookie Extension
2017,16,Luke Kennard,SG,LAC,24,4,"$56,000,000","$14,000,000","$41,236,364",Rookie Extension
2017,17,Markelle Fultz,PG,ORL,22,3,"$50,000,000","$16,666,667","$35,000,000",Rookie Extension
2017,18,Kyle Kuzma,PF,LAL,25,3,"$39,000,000","$13,000,000","$39,000,000",Rookie Extension
