Player,Seasons Played,Position,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,1,C,32,32,23.4,3.1,5.5,.571,0.0,0.0,NaN,3.1,5.5,.571,.571,1.0,2.2,.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2
Bam Adebayo,1,F,38,38,30.1,4.5,7.5,.599,0.0,0.0,NaN,4.5,7.5,.599,.599,4.1,6.2,.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0
LaMarcus Aldridge,2,F,53,53,30.2,5.2,8.9,.586,0.0,0.0,NaN,5.2,8.9,.586,.586,3.0,4.7,.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5
Grayson Allen,4,G,142,97,27.9,4.3,9.9,.430,2.0,5.4,.380,2.2,4.5,.490,.533,3.5,4.2,.834,0.5,2.6,3.2,3.0,1.0,0.1,1.7,2.1,14.1
Carmelo Anthony,1,F,35,35,36.4,7.9,17.5,.453,1.6,4.7,.337,6.3,12.7,.496,.498,4.8,6.8,.706,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2
Cole Anthony,1,G,22,20,34.9,6.0,15.7,.380,2.2,6.4,.348,3.7,9.3,.402,.451,4.4,5.8,.750,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5
OG Anunoby,2,F,50,10,17.4,2.7,4.8,.563,0.5,1.5,.365,2.1,3.3,.652,.620,0.9,1.8,.522,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8
Desmond Bane,4,G,141,114,30.3,4.7,9.4,.495,1.8,4.1,.433,2.9,5.4,.542,.589,1.5,1.9,.804,1.0,3.7,4.7,2.4,0.9,0.4,1.6,2.2,12.7
Scottie Barnes,1,G,24,7,24.8,4.1,8.1,.503,0.5,1.7,.275,3.6,6.5,.561,.531,1.7,2.8,.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3
R.J. Barrett,1,F,38,38,35.3,8.4,18.5,.454,1.9,6.2,.308,6.5,12.2,.529,.506,3.9,5.9,.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6
Eric Bledsoe,1,G,37,35,30.3,3.9,8.4,.462,1.3,3.5,.383,2.6,5.0,.516,.540,2.2,3.3,.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3
Andrew Bogut,2,F,68,68,32.7,6.6,10.9,.603,0.2,0.5,.361,6.4,10.4,.616,.612,3.2,4.7,.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6
Devin Booker,4,F,128,94,24.1,3.5,7.0,.496,0.2,0.6,.275,3.3,6.4,.518,.508,1.9,2.9,.658,2.1,3.6,5.7,0.8,0.6,0.6,1.6,2.3,9.0
Chris Bosh,1,F,31,31,31.0,5.4,9.7,.560,0.7,1.5,.478,4.7,8.2,.575,.597,4.1,5.6,.730,3.1,5.9,9.0,1.2,1.0,2.2,2.3,2.4,15.6
Mikal Bridges,3,F,116,73,27.3,3.9,7.5,.525,1.5,3.7,.400,2.5,3.8,.645,.623,1.9,2.3,.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3
Dillon Brooks,3,F,109,98,28.9,5.4,11.4,.472,1.2,3.4,.362,4.2,8.0,.518,.526,2.8,3.5,.794,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8
Jaylen Brown,1,F,34,34,27.6,4.8,11.1,.431,0.9,3.0,.294,3.9,8.1,.482,.471,4.2,6.4,.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6
Alec Burks,2,G,68,67,30.9,6.2,12.6,.495,0.7,2.2,.313,5.5,10.4,.533,.522,5.9,7.3,.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0
Vince Carter,3,F,103,80,26.0,4.7,8.5,.547,1.0,2.6,.368,3.7,5.9,.625,.603,2.0,2.8,.705,4.5,1.9,1.1,0.8,1.2,1.8,12.3
Wendell Carter Jr.,1,F,37,37,26.9,4.8,8.6,.561,0.5,1.2,.413,4.3,7.4,.586,.591,3.4,4.5,.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5
Brandon Clarke,4,F,98,69,27.8,6.0,9.3,.639,0.1,0.2,.250,5.9,9.1,.649,.642,2.5,4.0,.618,2.7,4.9,7.7,1.9,1.0,2.4,1.5,2.2,14.5
Nick Collison,4,F,142,130,27.4,6.0,10.7,.562,0.2,0.5,.359,5.9,10.3,.571,.570,2.5,4.0,.624,2.7,5.3,8.0,1.8,1.1,1.7,2.4,2.9,14.8
Mike Conley,1,G,39,39,31.6,4.1,7.9,.518,0.5,1.8,.304,3.6,6.2,.579,.552,2.6,3.7,.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3
DeMarcus Cousins,1,F,38,37,23.5,5.4,9.7,.558,0.0,0.2,.167,5.4,9.6,.565,.560,4.3,7.1,.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1
