YR_1,Rank,Player,Pos,Team Signed With,Age At Signing,Yrs,Value,AAV,Practical GTD,Type
2016,1,Pascal Siakam,PF,TOR,25,4,"$136,905,216","$34,226,304","$136,905,216",rookie-maximum-extension
2011,1,Kawhi Leonard,SF,SAS,23,5,"$94,343,126","$18,868,625","$94,343,126",rookie-maximum-extension
2007,1,Kevin Durant,SF,OKC,22,5,"$89,163,134","$17,832,627","$89,163,134",rookie-maximum-extension
2003,1,Carmelo Anthony,PF,DEN,22,5,"$78,899,560","$15,779,912","$78,899,560",rookie-maximum-extension
2008,1,Kevin Love,C,MIN,23,4,"$60,825,938","$15,206,485","$60,825,938",rookie-maximum-extension
2003,1,Chris Bosh,PF,TOR,22,3,"$42,645,493","$14,215,164","$42,645,493",rookie-maximum-extension
2020,1,Desmond Bane,SG,MEM,25,5,"$197,230,450","$39,446,090","$197,230,450",Rookie Extension
2020,1,Devin Vassell,SG,SAS,23,5,"$135,000,000","$27,000,000","$135,000,000",Rookie Extension
2020,1,Jaden McDaniels,PF,MIN,23,5,"$131,000,000","$26,200,000","$131,000,000",Rookie Extension
2019,1,Jordan Poole,SG,GSW,23,4,"$128,000,000","$32,000,000","$123,000,000",Rookie Extension
1995,1,Kevin Garnett,PF,MIN,21,6,"$126,016,300","$21,002,717","$126,016,300",Rookie Extension
2019,1,Tyler Herro,SG,MIA,22,4,"$120,000,000","$30,000,000","$120,000,000",Rookie Extension
2019,1,R.J. Barrett,SG,NYK,22,4,"$107,000,000","$26,750,000","$107,000,000",Rookie Extension
2013,1,C.J. McCollum,SG,POR,25,4,"$106,633,449","$26,658,362","$106,633,449",Rookie Extension
2016,1,Jaylen Brown,SF,BOS,23,4,"$106,333,334","$26,583,334","$103,000,000",Rookie Extension
2018,1,Jaren Jackson Jr.,PF,MEM,22,4,"$104,720,000","$26,180,000","$104,720,000",Rookie Extension
2013,1,Rudy Gobert,C,UTA,24,4,"$102,000,000","$25,500,000","$94,000,000",Rookie Extension
2013,1,Giannis Antetokounmpo,PF,MIL,22,4,"$100,000,000","$25,000,000","$100,000,000",Rookie Extension
2013,1,Steven Adams,C,OKC,23,4,"$100,000,000","$25,000,000","$100,000,000",Rookie Extension
2016,1,Buddy Hield,SG,SAC,27,4,"$94,000,000","$23,500,000","$85,080,068",Rookie Extension
2018,1,Mikal Bridges,SF,PHX,25,4,"$90,900,000","$22,725,000","$90,900,000",Rookie Extension
2019,1,De'Andre Hunter,SF,ATL,24,4,"$90,000,000","$22,500,000","$90,000,000",Rookie Extension
2001,1,Pau Gasol,C,MEM,24,6,"$86,473,000","$14,412,167","$86,473,000",Rookie Extension
1999,1,Baron Davis,PG,NOH,23,6,"$86,310,000","$14,385,000","$68,500,000",Rookie Extension
2013,1,Victor Oladipo,SG,OKC,24,4,"$85,000,000","$21,250,000","$84,000,000",Rookie Extension
2001,1,Zach Randolph,PF,POR,23,6,"$84,333,334","$14,055,556","$84,333,334",Rookie Extension
2014,1,Gary Harris,SG,DEN,23,4,"$84,000,000","$21,000,000","$74,000,000",Rookie Extension
2015,1,Myles Turner,C,IND,22,4,"$80,000,000","$20,000,000","$70,000,000",Rookie Extension
2002,1,Yao Ming,C,HOU,25,5,"$75,352,750","$15,070,550","$75,352,750",Rookie Extension
2016,1,Domantas Sabonis,PF,IND,27,4,"$74,900,000","$18,725,000","$74,900,000",Rookie Extension
2019,1,Keldon Johnson,SG,SAS,22,4,"$74,000,000","$18,500,000","$74,000,000",Rookie Extension
2017,1,OG Anunoby,SF,TOR,23,4,"$72,000,000","$18,000,000","$72,000,000",Rookie Extension
1996,1,Allen Iverson,PG,PHI,23,6,"$70,880,000","$11,813,333","$70,880,000",Rookie Extension
1996,1,Stephon Marbury,PG,NJN,21,6,"$70,880,000","$11,813,333","$70,880,000",Rookie Extension
2010,1,Eric Bledsoe,PG,PHX,24,5,"$70,000,000","$14,000,000","$70,000,000",Rookie Extension
2013,1,Dennis Schröder,PG,ATL,23,4,"$70,000,000","$17,500,000","$62,000,000",Rookie Extension
2017,1,Derrick White,PG,SAS,26,4,"$70,000,000","$17,500,000","$68,000,000",Rookie Extension
2001,1,Jason Richardson,SG,GSW,23,6,"$69,999,993","$11,666,666","$69,999,993",Rookie Extension
2017,1,Jonathan Isaac,PF,ORL,23,4,"$69,600,000","$17,400,000","$52,200,000",Rookie Extension
2011,1,Klay Thompson,SG,GSW,24,4,"$68,979,450","$17,244,863","$68,979,450",Rookie Extension
2001,1,Tony Parker,PG,SAS,22,6,"$66,000,000","$11,000,000","$66,000,000",Rookie Extension
2006,1,LaMarcus Aldridge,PF,POR,24,5,"$65,000,000","$13,000,000","$65,000,000",Rookie Extension
2018,1,Kevin Huerter,SG,ATL,23,4,"$65,000,000","$16,250,000","$65,000,000",Rookie Extension
2011,1,Jonas Valanciunas,C,TOR,23,4,"$64,000,000","$16,000,000","$64,000,000",Rookie Extension
