Draft Year,Pick #,Player,Experience Level,Player Name,Position,Lane Agility,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Bench Press,Season Year
2024,1,Zaccharie Risacher,International,Zaccharie Risacher,SF,11.51,2.97,3.38,25.0,31.0,-,2024-25
2024,2,Alexandre Sarr,International,Alexandre Sarr,C,11.43,3.23,3.27,30.5,37.0,-,2024-25
2024,3,Reed Sheppard,Freshman,Reed Sheppard,PG,10.96,3.03,3.08,32.5,42.0,-,2024-25
2024,4,Stephon Castle,Freshman,Stephon Castle,SG,10.93,2.91,3.19,28.5,37.0,-,2024-25
2024,6,Tidjane Salaun,International,Tidjane Salaun,PF,11.45,3.05,3.37,27.5,32.0,-,2024-25
2024,7,Donovan Clingan,Sophomore,Donovan Clingan,C,12.06,3.38,3.46,25.5,29.0,-,2024-25
2024,9,Zach Edey,Senior,Zach Edey,C,11.19,3.01,3.42,26.0,31.5,-,2024-25
2024,10,Cody Williams,Freshman,Cody Williams,SF,11.17,2.93,3.06,31.0,35.5,-,2024-25
2024,11,Matas Buzelis,G League,Matas Buzelis,SF,10.73,2.90,3.09,31.0,38.0,-,2024-25
2024,13,Devin Carter,Junior,Devin Carter,SG,10.63,2.90,2.87,35.0,42.0,-,2024-25
2024,14,Carlton Carrington,Freshman,Carlton Carrington,PG,11.28,2.99,3.16,28.5,36.5,-,2024-25
2024,15,Kel'el Ware,Sophomore,Kel'el Ware,C,10.97,2.91,3.29,32.5,36.0,-,2024-25
2023,1,Victor Wembanyama,International,Victor Wembanyama,C,-,-,-,-,-,-,2023-24
2023,2,Brandon Miller,Freshman,Brandon Miller,SF,-,-,-,-,-,-,2023-24
2023,3,Scoot Henderson,G League,Scoot Henderson,PG,-,-,-,-,-,-,2023-24
2023,4,Amen Thompson,Overtime Elite,Amen Thompson,SG,-,-,-,-,-,-,2023-24
2023,5,Ausar Thompson,Overtime Elite,Ausar Thompson,SG,-,-,-,-,-,-,2023-24
2023,6,Anthony Black,Freshman,Anthony Black,PG,11.04,-,3.35,32.0,39.0,-,2023-24
2023,7,Bilal Coulibaly,International,Bilal Coulibaly,SG-SF,-,-,-,-,-,-,2023-24
2023,8,Jarace Walker,Freshman,Jarace Walker,PF,10.89,-,3.20,34.5,38.0,-,2023-24
2023,9,Taylor Hendricks,Freshman,Taylor Hendricks,PF,11.27,-,3.32,32.5,36.0,-,2023-24
2023,10,Cason Wallace,Freshman,Cason Wallace,PG,10.82,-,3.34,28.0,36.0,-,2023-24
2023,11,Jett Howard,Freshman,Jett Howard,SF,-,-,-,-,-,-,2023-24
2023,13,Gradey Dick,Freshman,Gradey Dick,SG,11.13,2.98,3.50,29.0,34.0,-,2023-24
2023,14,Jordan Hawkins,Sophomore,Jordan Hawkins,SG,-,-,-,-,-,-,2023-24
2023,15,Kobe Bufkin,Sophomore,Kobe Bufkin,SG,11.71,-,3.26,29.0,36.0,-,2023-24
2022,1,Paolo Banchero,Freshman,Paolo Banchero,PF,-,-,-,-,-,-,2022-23
2022,2,Chet Holmgren,Freshman,Chet Holmgren,PF,-,-,-,-,-,-,2022-23
2022,3,Jabari Smith,Freshman,Jabari Smith,PF,-,-,-,-,-,-,2022-23
2022,4,Keegan Murray,Sophomore,Keegan Murray,PF,-,-,-,-,-,-,2022-23
2022,5,Jaden Ivey,Sophomore,Jaden Ivey,PG,-,-,-,-,-,-,2022-23
2022,6,Bennedict Mathurin,Sophomore,Bennedict Mathurin,SG,-,-,-,-,-,-,2022-23
2022,7,Shaedon Sharpe,Freshman,Shaedon Sharpe,SG,-,-,-,-,-,-,2022-23
2022,8,Dyson Daniels,G League,Dyson Daniels,SG,10.81,2.81,3.22,29.0,34.0,-,2022-23
2022,9,Jeremy Sochan,Freshman,Jeremy Sochan,PF,-,-,-,-,-,-,2022-23
2022,10,Johnny Davis,Sophomore,Johnny Davis,PG,-,-,-,-,-,-,2022-23
2022,11,Ousmane Dieng,International,Ousmane Dieng,SF,-,-,-,-,-,-,2022-23
2022,12,Jalen Williams,Junior,Jalen Williams,SG,11.13,3.17,3.11,33.5,39.0,-,2022-23
2022,13,Jalen Duren,Freshman,Jalen Duren,C,-,-,-,-,-,-,2022-23
2022,14,Ochai Agbaji,Senior,Ochai Agbaji,SG,10.77,3.11,3.13,32.0,39.0,-,2022-23
2022,15,Mark Williams,Sophomore,Mark Williams,C,-,-,-,-,-,-,2022-23
2021,1,Cade Cunningham,Freshman,Cade Cunningham,PG,-,-,-,-,-,-,2021-22
2021,2,Jalen Green,G League,Jalen Green,SG,-,-,-,-,-,-,2021-22
2021,3,Evan Mobley,Freshman,Evan Mobley,PF,-,-,-,-,-,-,2021-22
2021,4,Scottie Barnes,Freshman,Scottie Barnes,SF,10.88,2.99,3.15,36.0,39.5,-,2021-22
2021,7,Jonathan Kuminga,G League,Jonathan Kuminga,SF,-,-,-,-,-,-,2021-22
2021,9,Davion Mitchell,Junior,Davion Mitchell,PG,-,-,-,-,-,-,2021-22
2021,10,Ziaire Williams,Freshman,Ziaire Williams,SF,10.69,3.04,3.12,34.0,39.5,-,2021-22
2021,11,James Bouknight,Sophomore,James Bouknight,SG,-,-,-,-,-,-,2021-22
2021,12,Joshua Primo,Freshman,Joshua Primo,SG,10.97,3.36,3.22,30.5,37.5,-,2021-22
2021,14,Moses Moody,Freshman,Moses Moody,SG,-,-,-,-,-,-,2021-22
2021,15,Corey Kispert,Senior,Corey Kispert,SF,10.91,2.99,3.12,30.0,37.5,-,2021-22
2020,10,Jalen Smith,Sophomore,Jalen Smith,PF-C,-,-,-,-,-,-,2020-21
2019,1,Zion Williamson,Freshman,Zion Williamson,PF,-,-,-,-,-,-,2019-20
2019,2,Ja Morant,Sophomore,Ja Morant,PG,-,-,-,-,-,-,2019-20
2019,4,De'Andre Hunter,Sophomore,De'Andre Hunter,-,-,-,-,-,-,-,2019-20
2019,5,Darius Garland,Freshman,Darius Garland,PG,-,-,-,-,-,-,2019-20
2019,6,Jarrett Culver,Sophomore,Jarrett Culver,SG,-,-,-,-,-,-,2019-20
2019,7,Coby White,Freshman,Coby White,PG,-,-,-,-,-,-,2019-20
2019,8,Jaxson Hayes,Freshman,Jaxson Hayes,PF,11.74,3.23,3.37,27.0,34.5,5,2019-20
2019,11,Cameron Johnson,Senior,Cameron Johnson,SG,10.52,3.28,3.26,30.5,36.5,-,2019-20
2019,12,P.J. Washington,Sophomore,P.J. Washington,PF,-,-,-,-,-,-,2019-20
2019,13,Tyler Herro,Freshman,Tyler Herro,SG,-,-,-,-,-,-,2019-20
2019,14,Romeo Langford,Freshman,Romeo Langford,SG,-,-,-,-,-,-,2019-20
2018,5,Trae Young,Freshman,Trae Young,PG,-,-,-,-,-,-,2018-19
2018,6,Mohamed Bamba,Freshman,Mohamed Bamba,C,-,-,-,-,-,-,2018-19
2018,7,Wendell Carter,Freshman,Wendell Carter,C-PF,-,-,-,-,-,-,2018-19
2018,8,Collin Sexton,Freshman,Collin Sexton,PG,-,-,-,-,-,-,2018-19
2018,9,Kevin Knox,Freshman,Kevin Knox,SF,-,-,-,-,-,-,2018-19
2018,12,Miles Bridges,Sophomore,Miles Bridges,SF,-,-,-,-,-,-,2018-19
2018,13,Jerome Robinson,Junior,Jerome Robinson,SG,-,-,-,-,-,-,2018-19
2018,14,Michael Porter,Freshman,Michael Porter,SF-PF,-,-,-,-,-,-,2018-19
2018,15,Troy Brown,Freshman,Troy Brown,SF,11.51,3.29,3.33,26.0,33.0,5,2018-19
2017,1,Markelle Fultz,Freshman,Markelle Fultz,PG,-,-,-,-,-,-,2017-18
2017,10,Zach Collins,Freshman,Zach Collins,PF-C,-,-,-,-,-,-,2017-18
2017,12,Luke Kennard,Sophomore,Luke Kennard,SG-SF,-,-,-,-,-,-,2017-18
2017,13,Donovan Mitchell,Sophomore,Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,10,2017-18
2016,3,Jaylen Brown,Freshman,Jaylen Brown,SG-SF,-,-,-,-,-,-,2016-17
2016,5,Kris Dunn,Junior,Kris Dunn,PG,-,-,-,-,-,-,2016-17
2016,6,Buddy Hield,Senior,Buddy Hield,SG,-,-,-,-,-,-,2016-17
2016,8,Marquese Chriss,Freshman,Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-,2016-17
2016,9,Jakob Poeltl,Sophomore,Jakob Poeltl,C,-,-,-,-,-,-,2016-17
2016,10,Thon Maker,HS Senior,Thon Maker,PF,11.15,3.09,3.33,32.0,36.5,-,2016-17
2016,12,Taurean Prince,Senior,Taurean Prince,SF,10.96,2.80,3.24,34.0,36.0,-,2016-17
2016,14,Denzel Valentine,Senior,Denzel Valentine,SG-SF,10.51,3.22,3.46,27.0,32.0,-,2016-17
2015,6,Willie Cauley-Stein,Junior,Willie Cauley-Stein,C,-,-,-,-,-,-,2015-16
2015,8,Stanley Johnson,Freshman,Stanley Johnson,SF,-,-,-,-,-,-,2015-16
2015,9,Frank Kaminsky,Senior,Frank Kaminsky,C-PF,-,-,-,-,-,-,2015-16
2015,10,Justise Winslow,Freshman,Justise Winslow,SF,-,-,-,-,-,-,2015-16
2015,11,Myles Turner,Freshman,Myles Turner,C-PF,-,-,-,-,-,-,2015-16
2015,12,Trey Lyles,Freshman,Trey Lyles,PF,-,-,-,-,-,-,2015-16
2015,13,Devin Booker,Freshman,Devin Booker,SG,10.27,2.75,3.28,27.5,34.5,8,2015-16
2015,14,Cameron Payne,Sophomore,Cameron Payne,PG,10.90,2.93,3.28,29.8,35.5,-,2015-16
2015,15,Kelly Oubre,Freshman,Kelly Oubre,SF-SG,11.09,3.12,3.32,34.5,37.0,7,2015-16
2014,4,Aaron Gordon,Freshman,Aaron Gordon,PF,10.81,2.76,3.27,32.5,39.0,-,2014-15
2014,5,Dante Exum,International,Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-,2014-15
2014,6,Marcus Smart,Sophomore,Marcus Smart,PG,10.82,2.96,3.26,33.0,36.0,-,2014-15
2014,7,Julius Randle,Freshman,Julius Randle,PF,11.45,3.14,3.27,29.0,35.5,-,2014-15
2014,8,Nik Stauskas,Sophomore,Nik Stauskas,SG,10.79,2.92,3.27,29.0,35.5,-,2014-15
2014,9,Noah Vonleh,Freshman,Noah Vonleh,PF,11.45,3.29,3.28,31.0,37.0,-,2014-15
2014,10,Elfrid Payton,Junior,Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-,2014-15
2014,11,Doug McDermott,Senior,Doug McDermott,SF,11.10,3.15,3.29,28.5,36.5,-,2014-15
2014,13,Zach LaVine,Freshman,Zach LaVine,PG,10.42,2.80,3.19,33.5,41.5,-,2014-15
2014,14,T.J. Warren,Sophomore,T.J. Warren,SF,11.10,3.04,3.26,27.0,35.5,-,2014-15
2014,15,Adreian Payne,Senior,Adreian Payne,PF,-,-,-,-,-,-,2014-15
2013,2,Victor Oladipo,Junior,Victor Oladipo,SG,10.69,3.14,3.25,33.0,42.0,15,2013-14
2013,3,Otto Porter,Sophomore,Otto Porter,SF,11.25,3.06,3.40,27.0,36.0,9,2013-14
2013,4,Cody Zeller,Sophomore,Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17,2013-14
2013,5,Alex Len,Sophomore,Alex Len,C,-,-,-,-,-,-,2013-14
2013,6,Nerlens Noel,Freshman,Nerlens Noel,C,-,-,-,-,-,-,2013-14
2013,7,Ben McLemore,Freshman,Ben McLemore,SG,11.87,3.11,3.27,32.5,42.0,6,2013-14
2013,9,Trey Burke,Sophomore,Trey Burke,PG,11.20,3.01,3.16,29.5,36.5,3,2013-14
2013,10,CJ McCollum,Senior,CJ McCollum,PG-SG,11.02,2.91,3.32,32.0,38.5,13,2013-14
2013,12,Steven Adams,Freshman,Steven Adams,C,11.85,3.02,3.40,28.5,33.0,16,2013-14
2013,13,Kelly Olynyk,Junior,Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5,2013-14
2013,14,Shabazz Muhammad,Freshman,Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37.0,10,2013-14
2012,1,Anthony Davis,Freshman,Anthony Davis,PF-C,-,-,-,-,-,-,2012-13
2012,2,Michael Kidd-Gilchrist,Freshman,Michael Kidd-Gilchrist,SF,11.77,-,3.18,32.0,35.5,6,2012-13
2012,3,Bradley Beal,Freshman,Bradley Beal,SG,10.95,-,3.28,33.0,39.0,8,2012-13
2012,4,Dion Waiters,Sophomore,Dion Waiters,SG,-,-,-,-,-,-,2012-13
2012,5,Thomas Robinson,Junior,Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15,2012-13
2012,6,Damian Lillard,Senior,Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13,2012-13
2012,7,Harrison Barnes,Sophomore,Harrison Barnes,SF-SG,10.93,-,3.16,38.0,39.5,15,2012-13
2012,8,Terrence Ross,Sophomore,Terrence Ross,SG-SF,11.78,-,3.28,31.0,37.5,2,2012-13
2012,9,Andre Drummond,Freshman,Andre Drummond,C,10.83,-,3.39,31.5,33.5,10,2012-13
2012,10,Austin Rivers,Freshman,Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1,2012-13
2012,11,Meyers Leonard,Sophomore,Meyers Leonard,C,11.34,-,3.41,30.0,32.5,19,2012-13
2012,12,Jeremy Lamb,Sophomore,Jeremy Lamb,SG,10.98,-,3.25,31.5,38.0,5,2012-13
2012,13,Kendall Marshall,Sophomore,Kendall Marshall,PG,12.03,-,3.23,31.0,37.0,-,2012-13
2012,14,John Henson,Junior,John Henson,PF,-,-,-,25.5,30.0,5,2012-13
